MONTH,DIE_CLASS_CODE,WAFER_ID,PRIORITY,ROUTING CODE,OWNER,5G,MODULE,GPDW
May-21,2SN8-1701,N1335-P096,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1701,N1335-P101,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1701,N1335-P122,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1702,N1333-1080,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1702,N1333-1081,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1702,N1333-1192,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1702,N1333-1194,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1702,N1333-1195,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1702,N1333-1198,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1701,N1335-P095,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1701,N1335-P143,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1701,N1335-P145,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1701,N1335-P148,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1701,N1335-P224,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SN8-1701,N1335-P281,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
May-21,2SR2-1702,N0289-8139,P1,CUSMT_PLASMA,Tuan Kalsum,NO,CHDR,58670
May-21,2SR2-1702,N0289-8140,P1,CUSMT_PLASMA,Tuan Kalsum,NO,CHDR,58670
May-21,2SR2-1702,N0289-0024,Normal,CUSMT_PLASMA,Tuan Kalsum,NO,CHDR,58670
May-21,2SR2-1702,N0289-P091,Normal,CUSMT_PLASMA,Tuan Kalsum,NO,CHDR,58670
May-21,2SR2-1702,N0289-P125,Normal,CUSMT_PLASMA,Tuan Kalsum,NO,CHDR,58670
May-21,2SQ9-1701,N0637-P065,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,48388
May-21,2SQ9-1701,N0637-P066,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,48388
May-21,2SQ9-1701,N0637-P114,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,48388
May-21,2SQ9-1701,N0637-P208,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,48388
May-21,2SL3-1701,N1947-4014,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4076,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4078,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4079,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4080,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4081,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4139,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4140,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4166,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4211,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4212,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4217,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
